"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"evm.model.Herato0214.51",316.416683613157,-4.52783800518101,0.520256134516379,-8.70309392774391,3.22956403981897e-18,2.61594687225337e-16
"evm.model.Herato0211.91",270.125161686278,-4.69407722715763,0.612402947785127,-7.66501409592274,1.78811562652363e-14,7.24186828742071e-13
"evm.model.Herato0211.105",235.667811327144,-6.47891116601096,0.879274614994587,-7.36847289290939,1.72593616443935e-13,4.66002764398625e-12
"evm.model.Herato0214.47",193.37943403572,-10.6879010461764,1.51963068919453,-7.03322269165379,2.01816866090117e-12,4.08679153832486e-11
"evm.model.Herato0211.92",122.530091726125,-10.0345072945558,1.54337769777029,-6.50165368402862,7.94418197255627e-11,1.28695747955412e-09
"evm.model.Herato0211.101",197.296683279483,-3.04433736577016,0.481937810250734,-6.3168676559872,2.66917972170167e-10,3.08862224939764e-09
"evm.model.Herato0211.57",97.9309664035828,-9.70876209252884,1.53569253482897,-6.32207416024857,2.58075461529794e-10,3.08862224939764e-09
"evm.model.Herato0214.16",125.004646815239,-10.0546028767072,1.62822593137018,-6.1751890097009,6.60843644636147e-10,5.35283352155279e-09
"evm.model.Herato0214.20",88.2027147643843,-9.55581055823295,1.53923091667446,-6.20817218177924,5.36044020026637e-10,5.35283352155279e-09
"evm.model.Herato0214.28",111.822957496598,-5.66779614498215,0.917560656692259,-6.17702612208129,6.53202691469989e-10,5.35283352155279e-09
"evm.model.Herato0214.30",392.753883502181,3.93933163027871,0.646547822966443,6.09286968472735,1.109043425695e-09,8.16659249829958e-09
"evm.model.Herato0214.18",58.7370025061041,-6.48879549957418,1.20714987432282,-5.37530230305019,7.6454298304867e-08,5.16066513557852e-07
"evm.model.Herato0214.31",75.9311971231151,2.93911727313332,0.558516907831304,5.26236042619691,1.4221762041569e-07,8.86125173359298e-07
"evm.model.Herato0211.74",573.926324551266,-1.90244435351492,0.384628636237678,-4.94618490220609,7.56820751810308e-07,4.37874863547392e-06
"evm.model.Herato0211.102",181.383052520352,-2.31878140682084,0.488877232498323,-4.74307505581945,2.10498234345273e-06,1.13669046546447e-05
"evm.model.Herato0211.63",25.4213796900904,-7.76632239960231,1.64373990555747,-4.72478788970471,2.30355666164761e-06,1.1661755599591e-05
"evm.model.Herato0214.45",51.4713352940928,-7.3258653022227,1.57984848004004,-4.63706829786426,3.5338566955634e-06,1.68377877847433e-05
"evm.model.Herato0211.68",22.742140197484,-7.5916869508688,1.67611113730961,-4.52934580642098,5.91665946532126e-06,2.55515865403577e-05
"evm.model.Herato0211.78",30.1311002414499,-4.4953520862196,0.995480921635962,-4.51575915571741,6.30903371366858e-06,2.55515865403577e-05
"evm.model.Herato0213.2",87.8700522575174,-2.8154113575337,0.623288731422085,-4.51702592329899,6.27142302957723e-06,2.55515865403577e-05
"evm.model.Herato0211.100",22.2982228935164,-7.5832011531643,1.68689268928463,-4.49536665926282,6.94501685078371e-06,2.67879221387372e-05
"evm.model.Herato0211.61",142.935040297826,-2.35428977909613,0.525874672678535,-4.47690277058713,7.57337190468665e-06,2.78837783763463e-05
"evm.model.Herato0211.89",30.9097518045142,5.0009974270338,1.12685493063428,4.43801352869694,9.07929138798403e-06,3.19748957576829e-05
"evm.model.Herato0214.54",470.221967615122,-2.07973354265621,0.538787936806275,-3.86002247003535,0.00011337659906296,0.000382646021837491
"evm.model.Herato0211.79",9.57560916375358,7.09571915920899,1.87214381507942,3.79015709266329,0.000150552039798275,0.000487788608946411
"evm.model.Herato0213.4",20.8012925234233,-5.00863055952768,1.32522689838592,-3.77945132688448,0.00015717431210138,0.000489658433854298
"evm.model.Herato0211.73",52.2684258947715,2.26813267948818,0.605172040588134,3.7479138614598,0.000178311465574433,0.0005349343967233
"evm.model.Herato0214.32",11.9415166510218,-6.65150257996724,1.89940828499503,-3.50188141881494,0.00046198518475685,0.00133645714161803
"evm.model.Herato0214.50",2843.93762980452,1.27669474678263,0.394371040504719,3.23729334980761,0.00120669299635482,0.00337041836912898
"evm.model.Herato0214.19",21.4010837435013,2.40410962575505,0.853143491806534,2.81794287695302,0.00483324077578717,0.0130497500946253
"evm.model.Herato0214.5",149.62062829169,1.1277188403801,0.431565438076247,2.61308886412924,0.00897279684608675,0.023445049823646
"evm.model.Herato0211.69",5.34671515757783,-5.4967230336437,2.14402039948804,-2.56374567842556,0.0103549388016849,0.0254166679677721
"evm.model.Herato0214.11",182.167300525409,1.06505158289286,0.414727821649455,2.56807363117559,0.0102265431236821,0.0254166679677721
"evm.model.Herato0214.29",13.1146400255026,3.09111882744305,1.2927446387465,2.39112871544401,0.0167966630972178,0.040015579731607
"evm.model.Herato0214.12",103.32316635598,1.08410059057747,0.46393792277934,2.33673631179552,0.0194528992119456,0.0450195667476454
"evm.model.Herato0214.17",435.853370811461,0.991878602814074,0.428847980874763,2.31289092417048,0.0207286369468268,0.0466394331303604
"evm.model.Herato0211.77",145.409501754977,1.2951461810645,0.575375609704345,2.25095773825034,0.0243882142206972,0.0524568678396649
"evm.model.Herato0214.22",50.5693613785409,-1.48721693739939,0.661726565659702,-2.24747957023113,0.0246093947889786,0.0524568678396649
"evm.model.Herato0214.2_evm.model.Herato0214.3",95.9147472887981,-1.10469176326745,0.495015850246739,-2.23162907352728,0.0256394884592132,0.0532512452614428
"evm.model.Herato0214.13",16.6564354849756,2.21518329321454,1.01540584203875,2.18157430408993,0.0291409650391328,0.0590104542042438
"evm.model.Herato0214.49",8.64195313403729,-3.00265468253882,1.39441053327907,-2.15335054553685,0.0312911391457267,0.061819079775704
"evm.model.Herato0214.42",564.15793504159,0.786599120646049,0.380847522820815,2.06539119598301,0.0388860009234485,0.074994430352365
"evm.model.Herato0211.93",2.75806427157057,5.3053997836354,2.67378540897835,1.98422796602162,0.0472304322616513,0.0889689537952035
"evm.model.Herato0214.38",28.7948350039117,1.50972043295882,0.768247415153112,1.96514873096961,0.0493970258495731,0.0909354339503505
"evm.model.Herato0213.3",3.54016589416562,-4.88396604286064,2.60219314788362,-1.87686530757058,0.0605365567836337,0.106596980423355
"evm.model.Herato0214.48",222.777716012757,4.63351579019129,2.46146462515534,1.88242225496086,0.0597787065840465,0.106596980423355
"evm.model.Herato0211.88",2.41595360393435,5.11577270985762,2.89795973960507,1.76530151193708,0.0775131055599759,0.128657859252234
"evm.model.Herato0214.10",735.871772262603,0.838505253169932,0.47550007167544,1.7634177219268,0.0778300630044379,0.128657859252234
"evm.model.Herato0214.9",2.88333260603908,-4.64722299267898,2.62895069637147,-1.76771021194622,0.0771093619105257,0.128657859252234
"evm.model.Herato0214.26",82.1010933817332,0.926277287782197,0.554189043104288,1.67141032344064,0.0946406582157258,0.153317866309476
"evm.model.Herato0214.14",101.05899297659,-0.815003545717664,0.509960807705569,-1.59816898358239,0.110005374492676,0.174714418311896
"evm.model.Herato0211.81",44.6265224745474,1.07687820728672,0.686532249818708,1.56857628694223,0.116746701420873,0.181855438751745
"evm.model.Herato0211.86",5.14957078526775,2.79054386796532,1.81620865725833,1.53646656005803,0.124423993159424,0.190157423507799
"evm.model.Herato0214.53",10.891731869242,-1.88953272088077,1.24492154010246,-1.51779261585052,0.129066687188771,0.193600030783157
"evm.model.Herato0211.59",6.58155170928229,-2.46268453627929,1.67735671155147,-1.46819368791354,0.142051618355271,0.209203292486854
"evm.model.Herato0214.41",270.260264788606,0.652846988197503,0.457000719118848,1.42854696039925,0.153134488084385,0.221498098836343
"evm.model.Herato0214.15",12.937792026511,1.3166233961949,0.937416809895528,1.40452292117701,0.160163191102739,0.227600324198628
"evm.model.Herato0211.95",1.66656591191209,-3.81615149532197,3.05862570612351,-1.24766867932937,0.212152415828342,0.296281822105098
"evm.model.Herato0214.37",15.643026063381,1.1776268263205,0.965885202810428,1.21922027886334,0.222760597111086,0.297236560156584
"evm.model.Herato0214.39",793.116135706574,-0.480664774840742,0.390137888312897,-1.23203818249829,0.217934821382766,0.297236560156584
"evm.model.Herato0214.4",9.51768569305063,-2.07268672138739,1.70399660215034,-1.21636787231371,0.223844816908045,0.297236560156584
"evm.model.Herato0211.104",6.19309833178162,-2.45636714538489,2.11289961345614,-1.16255743043415,0.245009110861498,0.310089655934084
"evm.model.Herato0211.71",10.0841021642542,-1.37368421305849,1.16925448326878,-1.17483767025481,0.240059666025396,0.310089655934084
"evm.model.Herato0211.97",24.017104310852,-0.944077650330156,0.809195934058678,-1.16668610233241,0.243337157279916,0.310089655934084
"evm.model.Herato0214.43_evm.model.Herato0214.44_evm.model.Herato0214.46",80.1332170129565,-0.670819649279105,0.597941267994416,-1.12188217335983,0.261912541212243,0.326383320587565
"evm.model.Herato0214.40",147.908184915924,-0.787079681138128,0.74382376268202,-1.05815345062403,0.289985489352272,0.35589128238688
"evm.model.Herato0211.103",79.3891852283544,0.544674502025389,0.534752588556487,1.01855421307204,0.30841465089823,0.372859503324726
"evm.model.Herato0211.70",68.4717248887532,-0.516961540961873,0.526200048024445,-0.98244297563777,0.325881663087464,0.38818256926595
"evm.model.Herato0211.62",23.2248811287526,0.752290507190534,0.792618073647501,0.949121061204944,0.342559043788917,0.396389750670032
"evm.model.Herato0211.75",301.877393749864,0.413312085492972,0.432667710303383,0.955264457343399,0.339443976724733,0.396389750670032
"evm.model.Herato0211.80",48.7216582413222,-0.707258073341618,0.803983640294912,-0.879692120454324,0.379026119100112,0.432410079536747
"evm.model.Herato0211.67",1.28930538085398,2.83105093350833,3.58581750043675,0.789513390785647,0.42981200640563,0.483538507206334
"evm.model.Herato0214.35",6.51704800141789,-0.943346051142368,1.26940707102746,-0.743139117996897,0.457397458535333,0.507523207415918
"evm.model.Herato0211.87",702.019054454487,0.287426153255508,0.427732372968588,0.671976617670265,0.501598582080684,0.54904709660183
"evm.model.Herato0211.84",1.5916674819567,-1.8659455775804,2.83586958544862,-0.657980037994311,0.510550958303883,0.551395034968193
"evm.model.Herato0211.60",8.30984770219323,-0.760579967317219,1.18299084067167,-0.642929717769738,0.520269705265621,0.554497975348885
"evm.model.Herato0214.24",6.92038897157774,0.914373769251186,1.5363596422764,0.595156071592958,0.551739150833864,0.580400924903155
"evm.model.Herato0211.76",93.815534312328,-0.2781731081445,0.696941557718498,-0.399134052294319,0.689794432539726,0.716324987637408
"evm.model.Herato0214.25",81.0448427335308,-0.127976366884541,0.500142711115271,-0.255879700014354,0.798043729966882,0.818247368700221
"evm.model.Herato0211.90",3.56636187102816,-0.528095870650543,2.70042118218175,-0.195560557047579,0.844954135014446,0.855516061702127
"evm.model.Herato0212.2",158.696148860009,0.069140386015545,0.420996961215406,0.164230130820752,0.869549982165641,0.869549982165641
